City_ID,City Name,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Punaauia,PF,78.44,scattered clouds,-17.6333,-149.6,HÔTEL TAHITI IA ORA BEACH RESORT
5,Namatanai,PG,78.67,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
6,Waraseoni,IN,75.31,overcast clouds,21.75,80.0333,Thakre Bhavan
14,Bellevue,US,77.95,clear sky,47.6104,-122.2007,The Westin Bellevue
20,Atuona,PF,76.71,broken clouds,-9.8,-139.0333,Villa Enata
28,Bandarbeyla,SO,76.66,overcast clouds,9.4942,50.8122,JABIR HOTEL
35,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
38,Castro,BR,75.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
49,Vila Velha,BR,75.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
66,Adamovka,RU,76.53,broken clouds,51.5223,59.9396,Gostinitsa
69,Zhanaozen,KZ,75.06,light rain,43.3,52.8,K.korabay 28A
72,Mpulungu,ZM,76.66,scattered clouds,-8.7623,31.1141,Chela moche guest house
74,Bang Saphan,TH,77.38,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
85,Topolovgrad,BG,78.66,broken clouds,42.0833,26.3333,"хотел ""Сакар"""
99,Georgetown,MY,78.73,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
110,Sechura,PE,77.29,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
111,Barddhaman,IN,79.83,overcast clouds,23.25,87.85,Sinclairs Burdwan
114,Guerrero Negro,MX,77.0,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
117,Cabedelo,BR,78.19,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
130,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
132,Mitsamiouli,KM,76.59,clear sky,-11.3847,43.2844,Foyer ADM
137,Shubarkuduk,KZ,76.69,overcast clouds,49.1447,56.4872,Sirius
138,Goderich,CA,78.91,overcast clouds,43.7501,-81.7165,Harmony Inn
141,Vanimo,PG,77.85,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
148,Lasa,IT,75.42,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
155,Hambantota,LK,79.41,overcast clouds,6.1241,81.1185,Bungalow 63
159,Belmonte,BR,76.37,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
175,Makat,KZ,75.04,light rain,47.6469,53.3463,Umit
178,Erenhot,CN,77.13,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
181,Darnah,LY,79.56,clear sky,32.767,22.6367,فندق الفردوس
186,Guisijan,PH,79.56,overcast clouds,11.0932,122.0461,Bagongbayan
194,Mogadishu,SO,75.83,scattered clouds,2.0371,45.3438,Hotel Juba
198,Maragogi,BR,76.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
204,Labuan,MY,79.7,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
205,Faanui,PF,78.31,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Coruripe,BR,77.25,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
220,Sao Filipe,CV,75.67,moderate rain,14.8961,-24.4956,Hotel Xaguate
236,Tabou,CI,75.52,overcast clouds,4.423,-7.3528,hotêl doufoulougou
249,Guozhen,CN,75.87,broken clouds,34.3659,107.359,Yucai Hotel
250,Garissa,KE,76.06,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
251,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
261,Umred,IN,79.09,overcast clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
262,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
264,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
265,Zhangye,CN,77.94,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
297,Odweyne,SO,75.47,broken clouds,9.4092,45.064,Eng Hiirey House
298,Tak Bai,TH,76.64,scattered clouds,6.2595,102.0546,ชาญ อ่อนวงษ์
300,Luwuk,ID,75.24,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
302,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
311,Cabadiangan,PH,76.6,overcast clouds,9.7531,122.4739,Kipot
316,Jalingo,NG,78.37,broken clouds,8.8833,11.3667,Debright Motel
320,Jacqueville,CI,77.31,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
324,Caravelas,BR,76.24,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
325,Sorong,ID,77.68,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
332,Seoul,KR,76.6,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
350,Katsuura,JP,77.61,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
355,Kirakira,SB,77.65,few clouds,-10.4544,161.9205,SanBiz Lodge
364,Aiquile,BO,76.55,clear sky,-18.2041,-65.1807,Hotel Santa Ana
365,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
369,Bengkulu,ID,75.29,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
373,Camacha,PT,78.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
379,Touros,BR,79.23,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
381,Kindersley,CA,75.25,few clouds,51.4668,-109.1682,Kindersley Inn
385,Santa Maria,BR,78.08,overcast clouds,-29.6842,-53.8069,Hotel Morotin
393,Jiuquan,CN,77.25,broken clouds,39.7432,98.5174,Jiuquan Hotel
394,Anloga,GH,76.71,scattered clouds,5.7947,0.8973,Pin Drop Hotel
395,Isangel,VU,75.76,clear sky,-19.55,169.2667,Tanna Lodge
396,San Jose,US,79.92,clear sky,37.3394,-121.895,The Westin San Jose
399,Dingle,PH,76.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Finschhafen,PG,78.69,few clouds,-6.6024,147.8681,Cossam Guest House
407,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
416,Bintulu,MY,76.8,overcast clouds,3.1667,113.0333,900 Boutique INN
425,Lata,PT,76.08,scattered clouds,40.1629,-8.3327,Casa Maquia
433,Half Moon Bay,US,76.82,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
434,Fukue,JP,77.85,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
441,Matagami,CA,77.11,broken clouds,49.7502,-77.6328,Motel Le Caribou
442,Ahuimanu,US,79.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
445,Portland,US,77.95,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
446,Candolim,IN,78.8,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
447,Bhuban,IN,79.95,overcast clouds,20.8833,85.8333,Prasanta Sahoo
451,Ankang,CN,76.39,clear sky,32.68,109.0172,安琪酒店
464,Amahai,ID,75.54,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
466,Port Moresby,PG,76.23,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
472,Dabakala,CI,77.61,overcast clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
475,San Vicente,AR,79.75,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
477,Majene,ID,76.39,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
480,Padang,ID,77.14,light rain,-0.9492,100.3543,Mercure Padang
484,Balkhash,KZ,77.5,scattered clouds,46.844,74.9804,Family
498,Puerto Ayacucho,VE,77.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
499,Tautira,PF,79.09,light rain,-17.7333,-149.15,Pension Oaoa
500,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
501,Luganville,VU,76.39,clear sky,-15.5333,167.1667,The Espiritu Hotel
505,Durg,IN,77.23,very heavy rain,21.1833,81.2833,MAITRI HOSTEL
507,Grantham,GB,78.51,few clouds,52.9115,-0.6418,Premier Inn Grantham hotel
509,Naze,JP,78.78,clear sky,28.3667,129.4833,Shishime Hotel
522,Auki,SB,76.66,clear sky,-8.7676,160.7034,Auki Motel
538,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
540,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
543,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
547,Wanning,CN,79.83,clear sky,18.8003,110.3967,Paradise Hotel
570,Urumqi,CN,79.75,thunderstorm,43.801,87.6005,Hua Ling Grand Hotel Urumqi
572,Muisne,EC,75.81,overcast clouds,0.6,-80.0333,Quinta Samay
576,Tual,ID,78.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
579,Zhicheng,CN,78.17,overcast clouds,30.2956,111.5047,Wangjiang Building
582,Boffa,GN,78.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
584,Hobyo,SO,76.14,broken clouds,5.3505,48.5268,Iftin hotel hobyo
609,Kaspiyskiy,RU,76.64,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
611,Tamandare,BR,77.97,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
626,Malanje,AO,77.47,few clouds,-9.5402,16.341,Hotel Ginga
627,Dumai,ID,75.0,light rain,1.6833,101.45,Grand Zuri Dumai
632,Eyl,SO,77.99,overcast clouds,7.9803,49.8164,Amiin Hotel
639,Valasske Klobouky,CZ,77.76,clear sky,49.1406,18.0076,Hotel Alfacentrum
656,Teknaf,BD,79.27,overcast clouds,20.8624,92.3058,Forestry Guesthouse
661,Ha Tinh,VN,76.86,clear sky,18.3333,105.9,Phú Quý
669,Ca Mau,VN,77.49,few clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
